"","word","freq"
"trump","trump",71
"plan","plan",21
"energi","energi",20
"presid","presid",17
"hous","hous",15
"obama","obama",14
"administr","administr",12
"care","care",11
"rate","rate",10
"agenc","agenc",10
"offici","offici",10
"american","american",9
"state","state",9
"regul","regul",9
"make","make",8
"reform","reform",8
"increas","increas",8
"coal","coal",8
"agreement","agreement",7
"busi","busi",7
