"","word","freq"
"trump","trump",129
"presid","presid",32
"immigr","immigr",28
"state","state",26
"wall","wall",26
"time","time",21
"year","year",21
"border","border",21
"report","report",20
"court","court",18
"administr","administr",17
"govern","govern",17
"countri","countri",16
"democrat","democrat",16
"work","work",15
"republican","republican",15
"bill","bill",15
"congress","congress",15
"effort","effort",14
"includ","includ",14
