"","word","freq"
"trump","trump",97
"presid","presid",52
"countri","countri",36
"state","state",31
"order","order",31
"year","year",27
"obama","obama",27
"plan","plan",26
"administr","administr",23
"american","american",22
"rule","rule",21
"polici","polici",21
"china","china",20
"unit","unit",20
"trade","trade",19
"chang","chang",19
"includ","includ",19
"power","power",19
"call","call",18
"dtrump","dtrump",18
