candidate,tweet_time,tweet_text,tweet_lang
BernieSanders,2016-06-17 00:49:33,Please go to my website at https://t.co/IsNuum2y5X to learn more about how you can effectively run for office. #OurRevolution,en
BernieSanders,2016-06-17 00:48:49,We must start engaging at the local and state level in an unprecedented way. #OurRevolution https://t.co/8ZxfQ2APRD,en
BernieSanders,2016-06-17 00:48:25,"Fact: Since 2009, some 900 legislative seats have been lost to Republicans in state after state. #OurRevolution https://t.co/a7EBJLSRsl",en
BernieSanders,2016-06-17 00:46:49,The political revolution means more than fighting for our ideals at the Democratic National Convention and defeating Trump. #OurRevolution,en
BernieSanders,2016-06-17 00:42:17,I look forward to working with @HillaryClinton in the coming weeks. https://t.co/f5zcVRgfnv,en
BernieSanders,2016-06-17 00:40:53,"This campaign is about defeating @realDonaldTrump, the Republican candidate for president. #OurRevolution https://t.co/exfWylcYbd",en
BernieSanders,2016-06-17 00:40:22,This campaign has never been about any single candidate. It is about transforming America. #OurRevolution,en
BernieSanders,2016-06-17 00:36:12,"Special thanks to the students struggling with loans, seniors on Social Security, workers earning low wages &amp; the unemployed. #OurRevolution",en
BernieSanders,2016-06-17 00:35:19,"Unprecedented: 
✅ 2.7 million people donated to our movement 
✅ with over 8 million contributions
✅ at an average of $27.
#OurRevolution",en
BernieSanders,2016-06-17 00:34:40,Something extraordinarily important happened in this campaign – something that I had not anticipated. #OurRevolution https://t.co/SVhldvMZXZ,en
BernieSanders,2016-06-17 00:32:49,RT @YouTube: [LIVE] @BernieSanders addresses his supporters to discuss the road ahead. https://t.co/w7TRmEHq02 https://t.co/Ht02sNv2WT,en
BernieSanders,2016-06-17 00:32:22,When we began this campaign nobody thought we were going anywhere. A lot has changed. #OurRevolution https://t.co/pWuRwpyoYo,en
BernieSanders,2016-06-17 00:31:34,The political revolution must continue into the future. #OurRevolution https://t.co/2vrUatxx9U,en
BernieSanders,2016-06-17 00:30:37,Election days come and go. But political revolutions that attempt to transform our society never end. #OurRevolution https://t.co/VnFvnkT2es,en
BernieSanders,2016-06-16 23:59:40,#OurRevolution continues tonight with Bernie Sanders' live online address to his supporters at 8:30 pm ET. https://t.co/m6S1VVcZRj,en
BernieSanders,2016-06-16 21:43:09,You should not be able to walk into a gun store and purchase assault weapons. These type of weapons should be banned.,en
BernieSanders,2016-06-16 20:01:03,"In just a few hours I will speak to my supporters in an online video address. I very much hope that you'll join us:
https://t.co/i9tIJnfWjR",en
BernieSanders,2016-06-16 18:43:04,Over 15 million children in America today are poor — more than 20 percent of all of the kids living in America today.,en
BernieSanders,2016-06-16 17:05:04,"Almost every country in the world has at least 10 days of paid vacation per year, except the United States.",en
BernieSanders,2016-06-16 15:45:23,It is a national disgrace that billionaires are able to heavily influence the political process by making huge contributions.,en
BernieSanders,2016-06-16 14:34:16,"Millions of Americans are working longer hours for lower wages. They are overworked, underpaid and under enormous stress.",en
BernieSanders,2016-06-16 02:15:25,"The future of our political revolution depends on you. Will you join us for a live online, video address? 
https://t.co/XqTY09dLQx",en
BernieSanders,2016-06-16 00:08:52,This movement is sending a message to the billionaire class: You can’t have it all. This is our country too.,en
BernieSanders,2016-06-15 20:29:38,"In my view, every worker in America should be guaranteed at least twelve weeks of paid family and medical leave.",en
BernieSanders,2016-06-15 20:20:46,"RT @BernieSanders: No president can do it alone. That's why I'm endorsing progressives Rep. @RepMarcyKaptur and Rep. @RickNolanmn.
https://…",en
