EquivalenceClass,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
secretary,0,0,2,0,1,1,0,1,1,0,0,0,1,3,0,2,0,1,0,0,1,0,0,1,5,0,18,1,1,1,1,0,0,1,0,1,0,2,0,0
senateRule,0,0,0,1,0,0,0,0,0,3,1,4,1,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,2,0,0,0,0,12,1
SensitiveInformation,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,1,2,0,3,4,8,0,15,0,0,0,0,0,0,0,0,0,0,0
smallBusinessConfidence,0,0,0,4,0,2,3,2,2,0,0,0,3,16,0,2,0,0,6,0,1,0,2,0,14,0,0,0,0,0,4,21,0,0,1,0,0,0,0,6
smallBusinessConfidenceIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
supremeCourt,1,0,3,0,0,0,0,0,0,38,0,0,0,3,0,4,0,1,0,3,1,0,0,0,5,3,3,1,0,1,0,0,0,10,0,0,0,0,34,0
tariff,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
taxBreak,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
terrorist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tradeDeficit,1,0,1,2,1,0,6,5,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,47,1,2,0,0,0,15,0,0,2
tradingPartners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
transPacificPartnership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travelBan,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,3,0
tweet,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,3,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0
twitter,0,2,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0
unitedStates,2,6,3,0,0,1,0,1,1,0,0,0,0,2,1,0,1,1,2,0,13,2,1,2,9,1,4,1,0,1,0,2,3,1,0,0,2,2,0,0
vladimirPutin,0,3,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
wall,0,0,1,0,0,0,0,2,0,0,0,0,0,0,21,0,1,15,0,0,0,0,0,0,2,0,0,0,0,7,1,0,5,0,0,0,0,0,0,0
war,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
washington,0,0,4,0,1,0,0,0,1,0,3,0,1,4,1,1,0,0,1,0,2,0,0,0,3,3,0,0,0,0,1,0,1,1,1,0,0,4,0,0
whiteHouse,0,1,2,2,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,2,1,1,0,3,11,3,0,1,1,1,3,0,1,1,2,1,2,0,0,2
