"","DSI_41.txt","DSI_42.txt","DSI_43.txt","DSI_44.txt","DSI_45.txt","DSI_46.txt","DSI_47.txt","DSI_48.txt","DSI_49.txt"
"1",1,0,0,0,1,0,0,0,0
"2",0,1,0,1,0,1,1,1,0
"3",0,0,1,0,0,0,0,0,1
